"Id","Imp_Innov","Imp_ConstCom","Imp_CreatCom","Imp_TimelyInf","Imp_SaveMT","Imp_SaveML","Imp_TaskMgm","Imp_DeviceSt","Imp_Photo","Imp_Wellness","Imp_Athlete","Imp_Style","WTP","iPhone","CompBuy","FB_Insta","Twit","Snap","YouTube","Pod_radio","TV","NewsP","AmznP","Age","Degree","Income","Occupation","Gender"
147,4,4,5,3,2,3,3,4,6,1,2,4,130,"iPhone","No","Yes","Yes","No","Yes","Yes","No","Yes","No",40,"Undergraduate degree","< $40k","Retailing/services/restaurant","Female"
148,3,3,7,3,3,3,3,4,3,2,3,4,220,"other smartphone","No","Yes","Yes","No","Yes","No","Yes","Yes","No",43,"Undergraduate degree","< $40k","Other/family caretaker","Female"
149,2,4,7,4,3,3,3,4,6,3,3,4,140,"other smartphone","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No",45,"Master’s degree or higher","< $40k","Other/family caretaker","Female"
150,3,7,5,5,4,6,5,5,2,7,5,5,240,"iPhone","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes",35,"Master’s degree or higher","> $175k","Financial services","Female"
151,3,5,6,4,3,2,3,3,4,5,4,3,180,"other smartphone","No","Yes","Yes","No","No","No","Yes","Yes","No",41,"Undergraduate degree","< $40k","Other/family caretaker","Female"
152,2,4,3,7,2,3,3,5,3,4,3,4,190,"other smartphone","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",39,"Master’s degree or higher","< $40k","Financial services","Female"
153,5,6,7,7,3,5,6,5,3,6,4,7,230,"iPhone","No","Yes","No","No","Yes","Yes","Yes","No","Yes",36,"Master’s degree or higher","$71k – $100k","Financial services","Female"
154,3,4,5,4,4,3,3,2,3,3,3,3,190,"iPhone","No","Yes","Yes","No","Yes","Yes","No","Yes","No",39,"Undergraduate degree","< $40k","Sales","Female"
155,5,5,7,4,5,4,6,1,7,5,5,5,150,"other smartphone","No","Yes","Yes","No","No","No","Yes","No","No",25,"Undergraduate degree","$40k - $70k","Advertising/public relations","Male"
156,6,6,4,5,3,5,6,5,2,7,5,7,180,"iPhone","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",31,"Master’s degree or higher","> $175k","Financial services","Female"
157,4,6,7,7,2,4,3,4,1,5,3,4,150,"other smartphone","No","Yes","No","No","No","Yes","Yes","Yes","No",41,"Undergraduate degree","< $40k","Small-medium business/self-employed","Female"
158,5,7,1,5,2,3,6,6,4,1,1,4,240,"iPhone","Yes","No","No","No","No","Yes","Yes","Yes","No",41,"Undergraduate degree","> $175k","Financial services","Male"
159,2,3,4,3,3,3,1,4,3,7,5,4,130,"other smartphone","No","Yes","No","No","No","Yes","Yes","Yes","Yes",40,"Undergraduate degree","< $40k","Small-medium business/self-employed","Female"
160,4,6,2,6,2,4,6,7,2,4,3,3,310,"iPhone","Yes","No","No","No","No","Yes","Yes","Yes","Yes",39,"Undergraduate degree","$71k – $100k","Financial services","Male"
161,7,6,1,7,1,3,6,6,1,3,1,4,320,"other smartphone","No","No","No","No","No","Yes","Yes","Yes","Yes",43,"Master’s degree or higher","$71k – $100k","Financial services","Female"
162,7,7,2,6,2,3,5,4,1,4,1,3,330,"other smartphone","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No",37,"Master’s degree or higher","> $175k","Sales","Female"
163,4,6,4,7,3,5,4,5,1,6,4,6,260,"iPhone","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",28,"Master’s degree or higher","$71k – $100k","Financial services","Female"
164,3,7,4,5,3,4,4,5,1,6,4,5,260,"iPhone","No","Yes","No","No","No","Yes","Yes","No","Yes",30,"Master’s degree or higher","> $175k","Financial services","Female"
165,4,6,2,6,2,3,6,4,1,3,1,4,230,"other smartphone","No","No","Yes","No","No","Yes","Yes","Yes","No",41,"Undergraduate degree","$71k – $100k","Sales","Female"
166,3,5,4,2,3,2,3,3,4,4,3,4,230,"iPhone","No","Yes","No","No","No","No","Yes","Yes","Yes",35,"Undergraduate degree","< $40k","Technology","Female"
167,7,7,3,6,2,4,4,4,1,5,3,4,170,"iPhone","No","No","No","No","No","Yes","Yes","Yes","No",42,"Undergraduate degree","$101k - $175k","Sales","Male"
168,5,7,6,1,4,5,6,5,1,7,5,7,200,"iPhone","No","Yes","No","No","No","Yes","Yes","No","Yes",25,"Master’s degree or higher","$71k – $100k","Financial services","Female"
169,5,5,6,2,4,3,3,2,4,4,4,3,200,"iPhone","No","Yes","No","No","No","No","Yes","Yes","Yes",35,"Undergraduate degree","< $40k","Technology","Female"
170,2,3,3,3,3,3,4,4,4,2,2,4,160,"other smartphone","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No",42,"Undergraduate degree","< $40k","Construction/transportation/manufacturing/logistics","Female"
171,3,4,4,5,3,3,3,4,3,3,2,4,190,"other smartphone","No","Yes","Yes","No","Yes","Yes","No","Yes","No",43,"Undergraduate degree","< $40k","Sales","Female"
172,5,6,3,2,3,4,3,4,1,6,4,5,150,"iPhone","No","Yes","No","No","No","No","Yes","Yes","No",40,"Undergraduate degree","< $40k","Small-medium business/self-employed","Female"
173,6,7,7,5,5,6,6,5,1,7,5,7,240,"iPhone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",25,"Master’s degree or higher","$101k - $175k","Financial services","Female"
174,5,5,2,5,2,1,3,1,2,2,1,4,210,"iPhone","No","Yes","No","No","No","Yes","Yes","Yes","Yes",40,"Undergraduate degree","< $40k","Construction/transportation/manufacturing/logistics","Female"
175,3,6,2,5,2,2,3,4,3,4,2,3,250,"other smartphone","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes",40,"Master’s degree or higher","< $40k","Engineering","Female"
176,3,3,3,4,3,3,3,5,6,2,3,3,200,"iPhone","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",40,"Master’s degree or higher","< $40k","Other/family caretaker","Female"
177,6,6,4,3,3,4,6,5,2,7,5,5,260,"iPhone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",25,"Master’s degree or higher","$71k – $100k","Financial services","Female"
178,4,7,3,1,2,4,3,3,2,5,4,5,230,"other smartphone","Yes","Yes","No","No","No","No","Yes","Yes","No",40,"Master’s degree or higher","< $40k","Health services","Female"
179,3,2,4,1,3,3,4,3,5,3,3,3,160,"iPhone","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No",43,"Undergraduate degree","< $40k","Sales","Female"
180,2,5,5,5,4,3,1,1,4,3,4,3,140,"other smartphone","No","Yes","No","No","No","Yes","Yes","Yes","No",39,"Undergraduate degree","< $40k","Construction/transportation/manufacturing/logistics","Female"
181,5,3,7,1,4,6,6,5,1,7,5,7,230,"iPhone","No","Yes","No","No","No","Yes","Yes","No","Yes",31,"Master’s degree or higher","$101k - $175k","Financial services","Female"
182,4,6,5,1,4,5,2,4,3,6,6,4,140,"iPhone","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes",28,"Master’s degree or higher","$40k - $70k","Financial services","Male"
183,4,1,5,4,4,5,2,4,3,5,6,4,130,"other smartphone","No","No","Yes","Yes","Yes","Yes","No","No","Yes",31,"Undergraduate degree","$101k - $175k","Financial services","Male"
184,3,1,4,3,3,4,3,4,4,2,3,3,120,"iPhone","No","Yes","No","No","No","No","Yes","Yes","No",46,"Undergraduate degree","< $40k","Sales","Female"
185,5,1,4,3,4,2,3,2,3,4,4,3,200,"other smartphone","No","Yes","No","No","Yes","No","Yes","Yes","Yes",34,"Master’s degree or higher","< $40k","Technology","Female"
186,5,6,7,5,3,5,6,5,1,7,5,7,250,"iPhone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",39,"Master’s degree or higher","$101k - $175k","Financial services","Female"
187,5,5,5,4,4,5,3,4,3,5,5,4,180,"other smartphone","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",30,"Master’s degree or higher","$71k – $100k","Financial services","Male"
188,5,6,5,5,4,3,3,2,5,4,3,4,200,"iPhone","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",34,"Undergraduate degree","< $40k","Construction/transportation/manufacturing/logistics","Female"
189,4,1,5,3,4,6,2,7,2,5,6,6,160,"other smartphone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",29,"Undergraduate degree","$101k - $175k","Financial services","Male"
190,4,2,7,5,6,5,6,2,3,6,5,4,200,"other smartphone","No","Yes","Yes","Yes","No","Yes","Yes","No","No",34,"Undergraduate degree","$40k - $70k","Retailing/services/restaurant","Male"
191,4,6,5,1,4,3,4,3,5,4,5,3,190,"other smartphone","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",35,"Undergraduate degree","< $40k","Advertising/public relations","Female"
192,3,6,5,4,4,3,3,3,3,3,3,4,220,"iPhone","Yes","Yes","No","No","Yes","No","Yes","Yes","No",41,"Master’s degree or higher","< $40k","Financial services","Female"
193,3,4,4,5,3,2,3,3,3,4,3,4,270,"iPhone","No","Yes","No","No","Yes","No","Yes","Yes","Yes",38,"Undergraduate degree","$40k - $70k","Financial services","Female"
194,6,2,7,6,5,4,6,2,5,5,5,4,150,"other smartphone","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No",25,"Undergraduate degree","$40k - $70k","Advertising/public relations","Male"
195,3,4,6,4,4,3,3,2,3,7,6,4,200,"other smartphone","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",35,"Undergraduate degree","$40k - $70k","Technology","Female"
196,4,1,6,2,4,6,2,5,2,5,7,6,190,"other smartphone","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes",25,"Undergraduate degree","$71k – $100k","Financial services","Female"
197,4,7,7,5,4,6,6,5,4,7,5,6,240,"iPhone","No","Yes","No","No","No","Yes","Yes","No","Yes",28,"Master’s degree or higher","$101k - $175k","Financial services","Female"
198,4,2,2,1,3,1,3,1,2,2,3,4,180,"iPhone","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No",44,"Undergraduate degree","$40k - $70k","Sales","Female"
199,2,4,5,4,5,4,1,4,3,4,2,4,120,"other smartphone","No","Yes","No","No","No","No","Yes","Yes","Yes",39,"Undergraduate degree","$40k - $70k","Education","Female"
200,3,5,5,4,1,2,3,2,3,5,5,4,180,"iPhone","No","Yes","No","No","No","No","Yes","Yes","No",34,"Undergraduate degree","$40k - $70k","Technology","Female"
201,5,6,4,6,1,4,6,4,2,3,3,3,340,"other smartphone","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No",39,"Undergraduate degree","$101k - $175k","Sales","Female"
202,5,7,4,6,2,4,6,4,4,3,2,3,320,"iPhone","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",36,"Undergraduate degree","$101k - $175k","Sales","Male"
203,6,4,5,2,6,2,6,2,5,5,5,5,160,"other smartphone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No",25,"Undergraduate degree","$40k - $70k","Education","Female"
204,4,5,4,5,3,4,3,3,1,3,3,5,180,"iPhone","Yes","Yes","No","No","No","No","Yes","Yes","No",45,"Master’s degree or higher","$40k - $70k","Small-medium business/self-employed","Female"
205,6,6,3,6,3,4,6,5,1,4,3,3,370,"other smartphone","Yes","No","No","No","No","Yes","Yes","Yes","Yes",43,"Undergraduate degree","> $175k","Sales","Male"
206,3,3,4,3,3,3,3,3,6,3,3,4,190,"other smartphone","Yes","Yes","No","No","No","No","Yes","Yes","Yes",39,"Master’s degree or higher","$40k - $70k","Advertising/public relations","Female"
207,2,3,4,3,4,4,1,3,6,3,2,4,170,"iPhone","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No",42,"Master’s degree or higher","$40k - $70k","Sales","Male"
208,5,7,6,7,5,6,6,4,6,6,5,7,250,"iPhone","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes",32,"Master’s degree or higher","$71k – $100k","Financial services","Female"
209,3,7,5,4,5,3,4,4,3,5,3,3,180,"iPhone","Yes","Yes","No","No","No","Yes","Yes","Yes","No",40,"Undergraduate degree","$40k - $70k","Other/family caretaker","Female"
210,4,7,4,5,5,4,4,4,4,6,5,4,150,"other smartphone","No","Yes","No","Yes","Yes","Yes","No","No","Yes",25,"Undergraduate degree","$40k - $70k","Financial services","Female"
211,5,6,7,7,4,5,6,3,6,6,5,5,170,"other smartphone","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No",32,"Master’s degree or higher","$40k - $70k","Financial services","Female"
212,4,4,5,3,2,6,4,6,4,5,6,6,210,"other smartphone","Yes","Yes","No","No","Yes","No","No","No","Yes",25,"Master’s degree or higher","$40k - $70k","Financial services","Female"
213,3,3,3,3,2,2,3,3,2,2,2,3,150,"other smartphone","No","Yes","Yes","No","No","No","Yes","Yes","No",43,"Undergraduate degree","$40k - $70k","Sales","Female"
214,4,5,5,5,4,5,2,4,3,5,6,4,250,"iPhone","No","Yes","No","Yes","Yes","No","No","No","Yes",30,"Undergraduate degree","$71k – $100k","Financial services","Male"
215,6,6,7,7,5,5,6,4,4,4,5,5,220,"iPhone","No","Yes","Yes","Yes","No","Yes","Yes","No","No",32,"Undergraduate degree","$71k – $100k","Advertising/public relations","Female"
216,5,5,7,5,5,4,6,3,3,5,5,5,200,"other smartphone","No","Yes","Yes","Yes","No","Yes","No","No","No",29,"Undergraduate degree","$40k - $70k","Advertising/public relations","Female"
217,5,7,3,7,3,4,6,5,3,2,3,3,380,"other smartphone","No","No","No","No","No","Yes","Yes","Yes","No",37,"Undergraduate degree","> $175k","Sales","Male"
218,4,5,4,4,5,6,2,3,3,5,7,4,160,"other smartphone","No","No","Yes","Yes","Yes","No","No","Yes","Yes",25,"Undergraduate degree","$40k - $70k","Financial services","Female"
219,6,5,7,4,6,4,6,1,5,6,4,4,200,"other smartphone","No","Yes","Yes","Yes","No","Yes","No","No","No",28,"Undergraduate degree","$40k - $70k","Advertising/public relations","Female"
220,5,6,7,6,4,4,6,4,1,7,4,5,240,"iPhone","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes",34,"Master’s degree or higher","$101k - $175k","Financial services","Female"
221,4,6,2,7,2,4,6,7,1,4,2,3,220,"other smartphone","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",38,"Master’s degree or higher","$71k – $100k","Sales","Male"
222,1,2,3,1,3,3,2,3,4,2,3,3,180,"other smartphone","No","No","Yes","No","No","Yes","Yes","Yes","No",38,"Master’s degree or higher","$40k - $70k","Advertising/public relations","Female"
223,3,2,6,1,4,4,2,3,4,2,4,3,150,"iPhone","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",35,"Undergraduate degree","$40k - $70k","Education","Male"
224,4,7,4,4,3,4,6,4,1,7,5,5,270,"iPhone","Yes","Yes","No","No","No","Yes","Yes","No","Yes",34,"Master’s degree or higher","$71k – $100k","Financial services","Female"
225,5,4,3,3,3,1,3,1,3,3,3,4,200,"other smartphone","No","Yes","No","No","No","No","Yes","Yes","No",40,"Undergraduate degree","$40k - $70k","Other/family caretaker","Female"
226,5,7,3,7,2,4,6,6,1,5,3,5,330,"iPhone","No","Yes","No","No","No","Yes","Yes","Yes","Yes",39,"Master’s degree or higher","$101k - $175k","Sales","Female"
227,4,5,2,7,2,3,3,4,3,2,2,3,190,"other smartphone","No","Yes","No","No","No","No","Yes","Yes","No",38,"Undergraduate degree","$71k – $100k","Education","Male"
228,3,7,3,6,3,1,3,1,2,3,2,4,160,"iPhone","No","No","No","No","No","No","Yes","Yes","No",36,"Undergraduate degree","$40k - $70k","Construction/transportation/manufacturing/logistics","Female"
229,4,6,7,6,3,5,5,4,7,6,5,7,270,"iPhone","No","Yes","No","No","No","Yes","Yes","No","Yes",32,"Master’s degree or higher","> $175k","Financial services","Female"
230,4,2,4,3,5,7,2,7,4,5,7,4,200,"iPhone","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes",29,"Undergraduate degree","$101k - $175k","Financial services","Male"
231,7,7,2,4,2,3,3,4,2,4,3,3,230,"other smartphone","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",45,"Undergraduate degree","$71k – $100k","Sales","Female"
232,3,4,7,7,3,3,3,4,1,6,4,5,140,"iPhone","No","Yes","Yes","No","No","Yes","Yes","Yes","No",41,"Undergraduate degree","> $175k","Health services","Female"
233,7,7,1,4,1,4,6,6,4,2,2,4,340,"iPhone","Yes","No","No","No","No","No","Yes","Yes","Yes",39,"Master’s degree or higher","$71k – $100k","Sales","Female"
234,3,5,6,5,4,3,3,4,4,5,4,5,180,"other smartphone","No","No","No","No","No","No","Yes","Yes","Yes",39,"Undergraduate degree","$71k – $100k","Small-medium business/self-employed","Male"
235,2,3,3,7,3,3,3,5,3,4,4,4,130,"iPhone","No","Yes","Yes","No","No","Yes","Yes","Yes","No",39,"Undergraduate degree","$71k – $100k","Retailing/services/restaurant","Male"
236,3,3,3,3,3,1,3,2,4,3,3,4,200,"iPhone","No","No","No","No","No","No","Yes","Yes","Yes",40,"Undergraduate degree","> $175k","Retailing/services/restaurant","Female"
237,4,7,7,5,3,5,5,6,7,6,5,7,220,"iPhone","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes",30,"Master’s degree or higher","> $175k","Financial services","Female"
238,5,6,3,6,2,4,6,4,1,6,4,5,320,"iPhone","Yes","Yes","Yes","No","No","No","Yes","Yes","No",42,"Master’s degree or higher","$71k – $100k","Sales","Female"
239,4,1,4,4,5,7,3,5,2,5,7,4,140,"other smartphone","No","Yes","Yes","Yes","Yes","No","No","No","Yes",31,"Undergraduate degree","$40k - $70k","Financial services","Female"
240,4,5,3,6,2,4,3,4,3,5,4,5,230,"iPhone","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",41,"Undergraduate degree","> $175k","Other/family caretaker","Female"
241,4,5,6,5,4,6,3,4,2,5,5,4,190,"iPhone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",27,"Undergraduate degree","$40k - $70k","Financial services","Female"
242,5,7,6,4,4,5,6,6,1,7,5,7,190,"iPhone","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes",31,"Master’s degree or higher","> $175k","Financial services","Female"
243,2,3,3,7,3,3,4,5,3,2,2,4,180,"iPhone","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",38,"Undergraduate degree","$101k - $175k","Education","Male"
244,5,1,6,4,4,4,3,5,6,4,5,4,170,"iPhone","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",32,"Undergraduate degree","$101k - $175k","Advertising/public relations","Male"
245,5,7,2,7,2,3,6,5,2,3,2,3,340,"iPhone","No","No","No","No","No","No","Yes","Yes","No",43,"Undergraduate degree","> $175k","Sales","Female"
246,6,7,3,6,3,4,6,5,2,3,3,3,330,"other smartphone","No","Yes","Yes","No","No","Yes","No","Yes","No",39,"Undergraduate degree","> $175k","Sales","Female"
247,5,6,6,4,4,6,6,6,4,7,5,6,290,"iPhone","No","Yes","No","Yes","No","Yes","Yes","No","Yes",33,"Undergraduate degree","$101k - $175k","Financial services","Female"
248,4,6,5,4,3,4,4,6,1,7,5,5,240,"iPhone","No","Yes","No","No","No","Yes","Yes","No","Yes",26,"Undergraduate degree","> $175k","Financial services","Female"
249,3,5,3,6,3,2,3,4,3,5,3,3,210,"other smartphone","Yes","No","No","No","No","No","Yes","Yes","No",39,"Undergraduate degree","$71k – $100k","Small-medium business/self-employed","Male"
250,3,5,3,5,3,2,3,3,4,3,3,4,150,"iPhone","No","Yes","Yes","No","No","Yes","Yes","Yes","No",46,"Undergraduate degree","< $40k","Sales","Female"
251,2,2,5,2,3,2,4,2,6,2,2,3,180,"other smartphone","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",32,"Undergraduate degree","$71k – $100k","Advertising/public relations","Male"
252,7,7,4,7,2,4,6,5,2,2,1,3,310,"other smartphone","No","No","No","No","No","No","Yes","Yes","Yes",40,"Undergraduate degree","$101k - $175k","Sales","Male"
253,3,4,7,4,3,3,3,5,6,2,2,3,160,"other smartphone","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",40,"Undergraduate degree","$71k – $100k","Sales","Female"
254,3,3,2,4,3,3,3,4,3,2,2,3,220,"iPhone","No","Yes","Yes","No","No","Yes","Yes","Yes","No",39,"Undergraduate degree","$71k – $100k","Retailing/services/restaurant","Male"
255,3,5,4,7,5,7,4,7,2,5,7,4,170,"iPhone","No","Yes","No","Yes","Yes","No","No","No","Yes",26,"Undergraduate degree","$71k – $100k","Financial services","Female"
256,4,4,3,4,3,6,4,5,3,5,6,4,230,"other smartphone","No","Yes","No","No","Yes","No","No","Yes","Yes",26,"Undergraduate degree","$40k - $70k","Financial services","Female"
257,1,5,1,7,3,5,6,6,3,6,3,3,230,"other smartphone","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes",42,"Master’s degree or higher","$101k - $175k","Sales","Female"
258,2,3,1,4,3,5,3,6,1,6,5,4,200,"other smartphone","No","Yes","No","No","No","Yes","Yes","Yes","No",39,"Undergraduate degree","$101k - $175k","Sales","Male"
259,4,7,1,7,2,4,3,5,4,5,3,4,190,"other smartphone","No","Yes","No","No","No","Yes","Yes","Yes","Yes",39,"Undergraduate degree","$71k – $100k","Construction/transportation/manufacturing/logistics","Male"
260,3,5,2,5,2,4,4,5,2,5,4,3,220,"other smartphone","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes",40,"Master’s degree or higher","$71k – $100k","Sales","Male"
261,2,4,4,5,2,4,3,3,3,3,2,4,230,"other smartphone","No","Yes","No","No","No","No","Yes","Yes","Yes",36,"Undergraduate degree","$71k – $100k","Retailing/services/restaurant","Male"
262,2,5,4,6,2,4,3,6,1,3,2,4,210,"other smartphone","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No",45,"Undergraduate degree","$71k – $100k","Sales","Female"
263,3,5,4,6,4,6,3,6,4,5,7,4,250,"iPhone","No","Yes","No","Yes","Yes","Yes","No","No","Yes",29,"Master’s degree or higher","$71k – $100k","Financial services","Female"
264,4,4,7,3,4,3,3,1,5,4,4,3,120,"other smartphone","No","Yes","No","No","No","No","Yes","Yes","No",37,"Undergraduate degree","$71k – $100k","Advertising/public relations","Female"
265,4,4,4,2,3,2,4,2,4,3,3,4,170,"other smartphone","No","Yes","Yes","No","No","Yes","Yes","Yes","No",38,"Undergraduate degree","$71k – $100k","Retailing/services/restaurant","Male"
266,3,5,1,5,3,4,4,4,6,5,4,5,230,"iPhone","Yes","Yes","No","No","No","Yes","Yes","Yes","No",40,"Undergraduate degree","$71k – $100k","Small-medium business/self-employed","Male"
267,6,6,6,4,3,5,6,6,4,6,5,7,250,"iPhone","No","Yes","No","No","No","Yes","Yes","No","Yes",30,"Undergraduate degree","> $175k","Financial services","Female"
268,3,3,6,2,4,4,3,3,3,2,4,3,120,"iPhone","No","Yes","Yes","No","No","Yes","Yes","Yes","No",38,"Undergraduate degree","$101k - $175k","Education","Male"
269,4,6,4,5,3,4,5,6,1,7,5,5,210,"iPhone","Yes","Yes","No","No","No","Yes","Yes","No","Yes",34,"Master’s degree or higher","$71k – $100k","Financial services","Female"
270,6,5,5,5,3,6,4,6,1,7,4,6,220,"iPhone","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes",33,"Undergraduate degree","> $175k","Financial services","Female"
271,4,6,5,5,4,3,4,3,3,4,3,6,150,"iPhone","Yes","Yes","No","No","No","No","Yes","Yes","Yes",40,"Undergraduate degree","$40k - $70k","Small-medium business/self-employed","Male"
272,3,5,6,4,4,5,4,4,2,6,5,4,130,"iPhone","No","No","Yes","Yes","Yes","No","No","Yes","Yes",26,"Undergraduate degree","> $175k","Sales","Male"
273,1,4,4,5,3,3,2,3,3,2,2,4,120,"other smartphone","No","Yes","Yes","No","No","No","Yes","Yes","No",42,"Undergraduate degree","< $40k","Education","Female"
274,3,4,6,4,4,4,1,2,2,4,4,4,110,"other smartphone","No","Yes","No","No","No","No","Yes","Yes","No",35,"Undergraduate degree","$40k - $70k","Education","Female"
275,4,5,5,5,4,3,4,3,4,3,3,3,130,"other smartphone","No","Yes","No","No","No","No","Yes","Yes","Yes",40,"Undergraduate degree","$40k - $70k","Sales","Female"
276,4,5,4,4,3,4,3,2,1,3,4,4,210,"iPhone","No","Yes","No","No","No","No","Yes","Yes","Yes",39,"Undergraduate degree","$71k – $100k","Technology","Female"
277,3,4,4,4,3,5,6,6,1,7,5,6,180,"iPhone","No","Yes","No","No","No","Yes","Yes","No","Yes",34,"Master’s degree or higher","> $175k","Financial services","Female"
278,4,3,5,1,4,3,3,3,5,3,5,3,190,"iPhone","No","Yes","No","No","No","No","Yes","Yes","Yes",35,"Undergraduate degree","$71k – $100k","Technology","Female"
279,4,4,7,5,4,6,3,4,2,6,5,6,200,"iPhone","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes",25,"Undergraduate degree","> $175k","Sales","Female"
280,3,7,4,3,4,3,3,3,5,3,3,3,200,"iPhone","No","Yes","Yes","No","No","No","Yes","Yes","Yes",41,"Undergraduate degree","$101k - $175k","Sales","Male"
281,5,6,6,5,4,6,4,6,5,6,5,7,200,"iPhone","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes",34,"Undergraduate degree","$101k - $175k","Financial services","Female"
282,5,5,5,4,3,4,4,6,2,7,5,6,210,"iPhone","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes",25,"Undergraduate degree","$101k - $175k","Financial services","Female"
283,2,5,2,4,2,4,4,5,1,4,3,4,310,"iPhone","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes",39,"Master’s degree or higher","> $175k","Sales","Male"
284,3,3,1,3,1,2,3,3,1,1,1,3,120,"other smartphone","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No",44,"Undergraduate degree","$40k - $70k","Construction/transportation/manufacturing/logistics","Female"
285,3,5,5,5,4,3,3,2,3,3,3,4,220,"iPhone","Yes","No","No","No","No","No","Yes","Yes","No",39,"Undergraduate degree","$71k – $100k","Sales","Male"
286,6,4,4,4,3,4,3,4,3,5,5,5,140,"iPhone","No","Yes","No","No","No","Yes","Yes","Yes","No",40,"Undergraduate degree","$40k - $70k","Construction/transportation/manufacturing/logistics","Female"
287,4,3,6,4,5,3,3,2,3,4,4,4,120,"iPhone","No","Yes","Yes","No","No","Yes","Yes","Yes","No",40,"Undergraduate degree","$71k – $100k","Engineering","Male"
288,2,7,3,7,2,5,6,7,2,6,3,4,320,"other smartphone","No","Yes","No","No","No","Yes","Yes","Yes","Yes",36,"Master’s degree or higher","> $175k","Sales","Female"
289,7,1,4,4,3,2,3,3,4,7,6,4,200,"iPhone","No","Yes","No","No","No","No","Yes","Yes","No",39,"Undergraduate degree","$101k - $175k","Financial services","Male"
290,2,5,4,4,3,3,3,2,3,2,2,4,170,"iPhone","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",46,"Undergraduate degree","$71k – $100k","Financial services","Male"
291,6,4,7,5,6,5,6,2,5,3,4,5,120,"other smartphone","No","Yes","Yes","Yes","No","Yes","No","No","No",25,"Undergraduate degree","$40k - $70k","Advertising/public relations","Female"
292,5,6,7,5,5,5,6,4,4,4,5,5,250,"iPhone","No","Yes","Yes","Yes","No","Yes","No","Yes","No",31,"Undergraduate degree","< $40k","Education","Female"
293,5,3,6,5,4,5,3,4,3,5,6,4,170,"iPhone","No","Yes","No","Yes","Yes","No","No","Yes","Yes",27,"Undergraduate degree","$40k - $70k","Sales","Female"
294,2,7,4,6,3,5,5,4,3,3,4,4,170,"other smartphone","No","No","No","No","No","Yes","Yes","Yes","No",36,"Master’s degree or higher","$71k – $100k","Sales","Male"
295,4,6,5,2,4,3,3,3,5,4,5,3,140,"other smartphone","No","No","No","No","No","No","Yes","Yes","Yes",32,"Undergraduate degree","$40k - $70k","Education","Female"
